SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
-2.057,0.88451,-1.1725,-46.595,28.193,-15.588,-0.99193
-2.665,1.1459,-1.5191,-42.838,45.957,-36.446,-0.98297
-3.192,1.3726,-1.8194,-44.398,40.555,-36.296,-1.1836
-2.099,0.90257,-1.1964,-46.375,33.693,-32.425,-1.3062
-2.064,0.88752,-1.1765,-49.574,16.324,-15.729,-1.4149
-1.505,0.64715,-0.85785,-50.312,12.785,-13.05,-1.451
-1.076,0.46268,-0.61332,-50.252,14.534,-20.688,-1.6085
-1.681,0.72283,-0.95817,-52.153,11.873,-20.113,-1.7307
-1.934,0.83162,-1.1024,-48.424,29.675,-36.232,-1.5821
-1.269,0.54567,-0.72333,-47.26,32.55,-42.321,-1.6292
-2.335,1.004,-1.331,-20.474,14.258,-19.49,-0.76269
-0.925,0.39775,-0.52725,-17.443,23.376,-26.393,-0.59203
17.65,-7.5895,10.061,-18.272,29.028,-30.934,-0.28542
112.3,-48.289,64.011,-29.801,25.999,-23.375,1.039
112,-48.16,63.84,-29.935,11.632,-7.9711,1.0597
88.2,-37.926,50.274,-31.138,4.4336,-4.2057,0.54626
260.3,-111.93,148.37,-46.095,15.811,-14.007,2.9361
407.6,-175.27,232.33,-64.038,32.82,-23.379,5.0138
183.3,-78.819,104.48,-46.588,22.976,-19.36,1.7352
356,-153.08,202.92,-79.397,19.9,-20.574,3.4655
308.2,-132.53,175.67,-77.643,22.783,-20.445,2.8314
162.8,-70.004,92.796,-48.689,17.281,-19.371,1.1853
40.05,-17.221,22.829,-55.292,0.45872,-7.2745,-1.1081
7.781,-3.3458,4.4352,-52.995,4.2584,-15.279,-1.6808
-2.117,0.91031,-1.2067,-52.397,4.6119,-15.572,-1.8213
-0.218,0.09374,-0.12426,-50.112,0,0,-1.4172
-1.203,0.51729,-0.68571,-49.978,3.4652,-6.4276,-1.5128
