NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure Air,Pressure Surface,Wind Speed,Ts
62.09,0.47626,9.2143,5.2496,2.173,0.50994,2.789,86.7,647.3,512.02,0.874,-2.4158
42.51,-2.1908,12.869,6.7231,1.6901,0.4987,3.188,84.1,645.88,512.82,1.138,-2.3946
8.47,2.0956,15.226,7.6256,0.9427,0.60346,3.563,82.1,647.44,508.82,1.239,-2.5005
0,-3.0481,16.76,5.3408,0.53746,NaN,4.212,73.6,607.5,510.42,1.239,-2.4581
0,-5.2389,35.864,-1.8257,0.81241,NaN,5.884,54.52,505.59,524.16,2.215,-2.0989
0,-1.9051,30.124,2.3604,0.86264,NaN,5.063,62.26,545.39,519.28,2.036,-2.2255
0,-2.8576,43.909,-3.2871,1.0653,NaN,5.773,54.32,499.88,526.61,2.77,-2.0356
0,-0.66677,23.635,3.37,0.74299,NaN,4.265,67.14,556.24,512.82,1.748,-2.3946
0,-8.8585,22.216,3.6819,0.48066,NaN,4.146,67.98,558.52,508.02,1.642,-2.5217
0,-6.0962,29.325,1.5044,0.69771,NaN,4.458,62.89,528.12,512.02,2.104,-2.4158
0,-10.287,22.474,0.90708,0.36938,NaN,4.427,62.7,525.39,512.82,1.626,-2.3946
0,-27.29,26.211,-1.2476,-0.065639,NaN,4.738,56.65,485.12,501.27,1.74,-2.702
0,-44.292,30.231,-3.8774,-0.50606,NaN,5.049,50.6,442.82,489.92,1.854,-3.0104
0,-22.861,30.337,-5.0926,0.067251,NaN,5.088,50.06,439.28,499.3,1.911,-2.7551
36.69,-23.527,37.988,-8.1233,1.2138,0.44752,5.677,48.04,439.16,516.85,2.355,-2.2889
79.31,-25.909,17.652,-2.7229,1.9276,0.43871,5.263,52.96,470.42,522.53,1.177,-2.1411
119.5,-16.574,22.117,-5.838,3.3627,0.42354,5.897,47.95,445.07,537.34,1.425,-1.7621
163.9,-7.1439,18.108,-3.9599,4.8211,0.41776,5.963,50.59,471.72,546.54,1.192,-1.5312
348.6,-17.336,17.109,-4.9112,9.689,0.39184,6.89,48.33,480.36,580.1,1.109,-0.71754
162.4,-5.1436,27.119,-3.8723,5.0919,0.4175,6.42,52.53,505.5,555.86,1.732,-1.301
241.5,-8.3822,31.684,-5.0123,7.3286,0.3991,7.025,50.52,506.8,565.29,1.93,-1.0713
180.2,-1.4288,36.203,-6.4367,5.8828,0.41265,7.777,46.63,492.45,564.43,2.014,-1.0922
80.19,0.95253,48.169,-6.6364,3.4606,0.43409,8.05,46.2,497.06,555.86,2.542,-1.301
90.23,-4.0959,33.967,-2.7356,3.3108,0.42382,7.707,49.03,515.33,549.07,1.826,-1.4684
95.87,-6.0962,32.078,-5.4881,3.2826,0.41543,6.97,48.14,481.1,547.38,1.865,-1.5103
70.79,-6.6677,33.623,-6.14,2.5841,0.42634,6.841,47.51,470.62,541.5,1.951,-1.6571
37.06,-6.6677,39.279,-8.4358,1.7274,0.43072,6.909,45.34,451.23,536.51,2.228,-1.7831
15.73,-15.336,43.327,-11.45,0.91037,0.43172,6.555,44.1,428.34,530.72,2.519,-1.9303
0,-22.765,37.029,-10.247,0.11332,NaN,6.716,42.14,413.86,524.97,2.077,-2.0778
0,-36.006,34.195,-8.9648,-0.30397,NaN,6.585,42.19,410.64,516.85,1.901,-2.2889
0,-31.338,26.794,-7.3144,-0.33453,NaN,6.393,41.88,402.27,512.02,1.501,-2.4158
0,-27.719,34.414,-10.363,-0.10347,NaN,7.06,38.19,384.03,513.62,1.801,-2.3735
0,-29.814,42.902,-12.128,0.027092,NaN,6.962,38.84,387.95,509.62,2.245,-2.4793
0,-46.96,35.924,-8.9023,-0.56244,NaN,7.151,36.78,372.16,487.59,1.737,-3.0743
0,-39.625,44.156,-11.725,-0.20296,NaN,7.212,35.85,364.27,488.37,2.128,-3.053
0,-39.339,36.55,-8.8921,-0.32953,NaN,6.862,37.15,368.53,480.67,1.786,-3.2664
0,-31.624,40.932,-10.983,-0.047262,NaN,7.146,35.46,358.68,484.5,1.966,-3.1596
0,-40.387,41.537,-9.023,-0.22211,NaN,6.644,38.27,374,473.81,2.036,-3.4589
26.66,-29.814,36.204,-8.5183,0.69202,0.48132,6.069,41.92,393.75,490.69,1.979,-2.9891
80.74,-25.528,31.903,-9.6591,2.185,0.429,6.392,41.82,401.66,520.09,1.837,-2.2044
148.07,-22.67,27.317,-8.7156,4.0622,0.40772,6.5715,42.875,416.92,537.75,1.6245,-1.7516
215.4,-19.813,22.972,-7.7348,5.9473,0.39933,6.751,43.93,432.48,555.86,1.412,-1.301
488.2,-36.958,23.543,-9.5804,13.123,0.39263,7.545,41.82,434.71,585.4,1.432,-0.593
734.3,-33.529,29.926,-11.919,20.276,0.39314,8.17,43.81,475.2,619.76,1.857,0.19182
357,-2.2861,24.201,-5.9384,10.522,0.40211,8.06,47.81,514.73,606.02,1.465,-0.11717
118.8,4.2864,26.252,1.0702,4.243,0.43617,6.981,57.44,574.48,559.27,1.585,-1.2174
90.71,2.9528,25.251,-0.60583,3.3374,0.44655,6.242,56.24,534.6,543.18,1.591,-1.6151
90.65,2.5718,36.321,0.31326,3.6632,0.44318,6.31,56.94,543.8,540.67,2.253,-1.6781
103.1,0.19051,26.721,2.0956,3.7267,0.42913,6.646,58.82,574.9,545.7,1.616,-1.5522
71.54,1.7145,13.119,3.4131,2.5328,0.43222,5.72,68.31,626.32,538.17,0.872,-1.7411
21.7,4.8579,11.755,3.8876,1.1905,0.41415,4.968,72.66,632.29,527.43,0.835,-2.0146
6.075,2.0003,13.22,5.0211,0.74237,0.39492,4.476,75.35,633.55,516.85,0.969,-2.2889
0,-23.337,15.93,6.6855,-0.020343,NaN,4.463,76.51,642.72,511.22,1.145,-2.437
0,-34.577,17.754,7.1887,-0.27176,NaN,4.599,75.15,637.33,504.84,1.222,-2.6065
0,-40.482,14.754,6.1346,-0.55273,NaN,4.231,76.04,628.48,493.81,1.026,-2.9039
0,-44.578,20.464,9.2118,-0.42038,NaN,3.8055,77.925,625.1,480.67,1.4365,-3.2664
0,-48.674,26.07,12.59,-0.2825,NaN,3.38,79.81,621.3,467.78,1.847,-3.6303
0,-39.244,18.621,8.6433,-0.33795,NaN,3.525,78.43,616.84,464.04,1.274,-3.7376
0,-8.1917,16.076,7.4035,0.43128,NaN,3.62,79.56,629.93,493.81,1.225,-2.9039
0,-3.7149,11.223,7.3872,0.42018,0.10169,2.823,89,666.07,501.67,1.012,-2.6914
0,-1.4288,7.9624,6.9499,0.38037,NaN,2.204,97.1,695.41,498.51,0.795,-2.7763
1.584,-2.3813,9.4759,9.1266,0.50228,0.45865,2.002,100.1,706.64,500.88,0.999,-2.7126
40.43,-4.7626,8.0347,7.661,1.4489,0.4391,2.041,99.8,706.48,500.09,0.836,-2.7338
