NET SW,NET LW,EH,EE,melt [cm ice eq. day],daily albedo,TEMP,RH,Pressure Air,Pressure surface,Wind Speed,Ts
142.87,-49.831,40.842,-7.7805,3.5571,0.31402,4.8174,42.932,368.04,445.77,2.1737,-4.4682
133.72,-58.158,42.518,-7.795,3.1112,0.31414,4.5166,40.407,331.98,429.02,2.1803,-5.0836
133.16,-56.366,46.517,-12.826,3.1168,0.31133,5.1619,33.425,294.9,433.88,2.2343,-4.9204
133.31,-59.275,56.602,-20.201,3.1155,0.30512,7.1323,23.372,231.39,447.9,2.3997,-4.5352
135.14,-53.715,55.821,-20.654,3.289,0.30232,8.1396,23.561,253.71,469.14,2.291,-3.7844
83.897,-36.514,31.256,-7.9287,1.9947,0.32338,6.4591,37.314,357.92,478.53,1.5117,-3.4468
121.84,-50.444,42.382,-12.956,2.8441,0.30698,5.6775,33.772,307.79,454.88,2.1174,-4.2021
78.688,-43.479,44.207,-12.076,1.8996,0.32015,6.1235,34.386,322.11,451.08,2.0404,-4.2768
71.303,-50.027,36.016,-8.0629,1.3887,0.33052,5.4789,36.43,326.88,443.7,1.7581,-4.4965
97.975,-45.443,35.92,-2.9718,2.4114,0.32037,5.6379,44.992,409.98,459.33,1.8152,-4.0759
112.39,-50.577,41.069,-7.1126,2.7017,0.30528,5.9493,41.275,382.38,462.01,2.0496,-3.9426
41.578,-35.92,38.041,-3.2834,1.1401,0.34501,5.3587,47.042,418.17,465.38,1.9337,-3.7921
33.268,-11.053,27.209,-7.5586,1.181,0.34685,5.7604,45.902,419.19,515.49,1.6418,-2.3341
