NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure Air,Pressure Surface,Wind Speed,Ts
18.176,-29.52,149.68,75.843,6.0419,0.24393,11.33,73.66,987.66,595.34,4.354,-0.36184
24.09,-32.34,163.26,74.54,6.4756,0.6107,11.65,70.59,966.75,621.46,4.862,0.22958
155.9,-28.462,99.74,37.913,7.4781,0.36523,12.2,65.98,937,652.84,3.005,0.91162
337.1,-31.282,76.669,15.34,11.223,0.25536,12.96,55.11,822.64,667.15,2.222,1.2131
552.2,-21.765,222.52,32.484,22.157,0.20478,14.04,51.57,825.91,710.53,6.341,2.0931
519.5,-5.199,249.65,61.186,23.277,0.17995,13.35,57.84,885.67,700.2,7.43,1.8879
310.48,20.355,298.91,143.32,21.808,0.18014,12.02,72.32,1014.9,683.53,9.74,1.5511
230.54,21.677,145.97,105.3,14.203,0.18681,10.12,88.3,1092.3,635.26,5.189,0.53334
182.95,23.704,71.932,60.032,9.5523,0.18471,9.27,96.2,1124.1,602.84,2.594,-0.18974
187.09,24.321,109.99,96.624,11.792,0.18974,9.24,98.3,1146.3,610.4,4.061,-0.017967
154.94,25.114,77.338,75.966,9.4039,0.18453,9.33,103.9,1219,602.84,2.777,-0.18974
305.56,21.06,77.908,67.896,13.327,0.15216,9.71,97,1167.4,613.79,2.762,0.058273
198.3,12.425,161.16,150.22,14.728,0.16223,10.97,97.3,1273.8,640.5,5.342,0.64699
51.95,-25.378,344.83,271.01,18.122,0.19744,11.78,88.2,1218.3,625.75,10.3,0.32461
16.175,-28.727,255.24,131.32,10.551,0.21709,11.6,73.63,1005.1,615.49,7.592,0.09637
0.206,-33.309,136.13,75.267,5.0297,0.41643,10.54,78.02,992.61,596.17,4.276,-0.3427
0,-21.325,139.52,86.895,5.7855,0.087954,9.85,83.5,1014.4,596.17,4.679,-0.3427
0,-12.072,96.802,63.915,4.1932,NaN,9.79,85.7,1037,601.16,3.303,-0.22796
0,-27.317,178.88,107.17,7.2987,NaN,10.12,81.6,1009.4,594.51,5.817,-0.38098
0,-9.605,100.12,64.418,4.3706,0.91387,8.86,86.8,986.56,575.68,3.531,-0.82238
0,-22.294,89.757,53.031,3.3991,NaN,8.75,84,947.67,558.87,3.072,-1.2273
0,-31.723,191.32,105.25,7.4714,0.057037,8.6,81.9,914.65,554.92,6.59,-1.3239
0,-34.631,56.347,21.296,1.2134,0.051546,8.05,72.8,783.24,540.88,1.979,-1.6728
0,-45.734,122.93,60.794,3.8926,NaN,7.956,79.95,854.68,539.33,4.342,-1.7117
17.983,-46.527,94.209,42.234,3.0438,0.23051,7.879,77.42,823.31,540.88,3.368,-1.6728
63.36,-32.692,26.559,12.424,1.9648,0.18224,6.404,81.8,786.3,521.81,1.058,-2.1596
153.64,-5.904,154.57,63.868,10.33,0.17175,8.49,74.55,826.38,566.03,5.525,-1.0535
