NET SW,NET LW,EH,EE,melt [cm ice eq. day],daily albedo,TEMP,RH,Pressure Air,Pressure surface,Wind Speed,Ts
139.15,-29.733,12.821,4.4355,3.5735,0.36802,2.574,90.077,650.67,478.17,0.69283,-3.4115
137.65,-31.146,36.75,11.386,4.3624,0.37064,5.4428,80.24,706.96,498.83,1.3393,-2.8837
138.34,-30.877,23.582,8.4299,3.9344,0.37282,4.8571,81.709,697.61,501.74,1.0232,-2.75
95.328,-20.756,13.997,5.4264,2.6516,0.39207,3.7196,85.427,676.2,484.07,0.67638,-3.2179
91.001,-20.69,18.892,7.5789,2.7302,0.41225,3.6549,85.075,670.44,478.99,0.86879,-3.3895
119.8,-7.5195,128.84,62.809,8.5737,0.32082,8.4962,81.078,892.37,553.09,3.5687,-1.5003
24.116,13.306,62.556,55.246,4.3788,0.24808,8.7373,100.94,1140.8,676.78,2.3554,1.3259
73.01,9.9905,122.92,88.614,8.3088,0.26657,8.7319,90.049,1016.9,561.58,4.1324,-1.17
90.413,3.5119,163.61,105.36,10.237,0.25453,8.3532,88.046,968.07,550.81,5.632,-1.431
16.902,8.6026,155.41,94.778,7.7772,0.34208,8.2649,88.341,965.88,551.95,5.3916,-1.408
