NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure Air,Pressure Surface,Wind Speed,Ts
0,-18.396,114.03,8.5081,2.9379,NaN,4.151,73.6,604.91,581.99,8.36,-0.67308
1.089,-1.525,79.439,8.3633,2.4646,NaN,4.141,74.61,612.78,580.22,5.786,-0.71464
4.175,14.393,67.993,14.033,2.8377,0.49023,4.088,78.69,643.89,581.1,5.034,-0.69386
15.86,14.107,64.204,17.531,3.1511,0.45741,4.456,80.3,674.23,587.3,4.542,-0.54852
50.66,8.483,87.385,29.163,4.9562,0.43523,4.405,82.7,691.91,586.41,6.226,-0.56927
56.08,14.202,70.369,27.448,4.742,0.46284,4.59,84.5,716.17,590.86,4.933,-0.46558
59.94,15.441,52.851,23.488,4.28,0.47513,4.529,86.6,730.85,588.19,3.708,-0.52778
71.55,14.583,57.002,20.083,4.6043,0.48929,4.956,82.1,713.84,594.43,3.788,-0.38271
62.56,14.678,33.114,11.93,3.4496,0.50467,5.439,81.2,730.14,599.83,2.062,-0.25854
63.86,13.725,47.541,15.875,3.9776,0.50952,5.119,81,712.32,597.13,3.104,-0.3206
95.1,15.155,67.463,23.483,5.6758,0.48981,5.453,80.8,727.25,602.54,4.241,-0.19652
189.4,14.774,57.933,18.998,7.9299,0.44571,5.902,79.07,734.17,611.64,3.492,0.0098991
111.3,10.389,91.766,30.474,6.8812,0.47,5.836,79.28,732.77,608.9,5.541,-0.051979
131.2,-12.868,105.65,20.81,6.9056,0.44735,5.685,73.97,676.58,603.44,6.409,-0.17586
103.01,-40.89,122.44,8.4665,5.4452,0.44228,6.079,66.6,626,598.03,6.817,-0.29991
63.63,-41.176,142.88,-2.7992,4.5849,0.46619,6.151,62.46,590.01,598.03,7.866,-0.29991
39.4,-44.417,134.44,4.2875,3.7721,0.48584,5.377,66.84,598.43,586.41,8.03,-0.56927
10.34,-41.462,136.86,10.771,3.2867,0.51272,4.419,72.25,605.07,579.34,9.43,-0.73543
0,-45.084,116.12,12.961,2.3694,NaN,3.892,75.21,607,573.21,8.64,-0.88107
0,-51.947,117.62,10.414,2.1463,NaN,3.724,74.83,596.84,570.6,8.94,-0.94355
0,-52.995,118.78,6.1703,2.0298,NaN,3.249,75.15,579.64,565.4,9.76,-1.0687
0,-60.62,104.34,8.5322,1.4741,NaN,2.885,77.25,580.68,559.38,9.02,-1.2148
0,-67.578,118.33,6.7579,1.6223,NaN,2.536,77.5,568.31,554.25,10.83,-1.3403
0,-70.342,121.24,-3.0468,1.3499,NaN,2.334,75.5,545.74,551.71,11.51,-1.4031
0,-76.919,107.72,-2.2019,0.80684,NaN,2.237,75.83,544.36,549.17,10.31,-1.466
0,-77.205,125.62,-6.5349,1.1814,NaN,2.381,73.84,535.53,548.32,11.51,-1.4869
21.4,-77.014,93.424,-0.71725,1.0464,0.48804,2.092,76.45,543.16,544.95,9.03,-1.5708
150,-75.68,78.594,-0.59366,4.2969,0.38725,2.237,76.61,549.95,551.71,7.636,-1.4031
259.9,-75.108,77.713,-7.2363,7.201,0.38514,2.187,74.97,536.27,556.81,7.933,-1.2775
384.8,-75.585,87.869,-19.919,10.64,0.38462,2.827,68.17,510.33,566.26,8.02,-1.0478
