NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure Air,Pressure Surface,Wind Speed,Ts
0,-79.227,22.942,-6.1065,-1.7601,NaN,0.659,60.53,388.03,443.33,2.487,-4.346
0,-86.091,33.336,-25.432,-2.2056,NaN,2.452,25.39,185.08,421.47,2.423,-5.0163
0,-78.737,56.266,-39.777,-1.756,NaN,2.49,34.19,249.9,447.06,4.544,-4.2348
0,-82.757,51.64,-31.004,-1.7524,NaN,2.529,36.79,269.65,441.85,4.055,-4.3905
0,-82.855,28.08,-11.517,-1.8701,NaN,0.419,49.12,309.47,408.75,2.613,-5.4209
0,-84.228,19.649,-5.1678,-1.9675,NaN,0.313,50.17,313.67,384.82,1.636,-6.2129
0.73,-83.443,23.886,-10.729,-1.9622,0.92388,-0.235,42.45,255.06,373.58,2.039,-6.6001
10.64,-83.64,26.73,-13.989,-1.6999,0.6174,-0.375,37.8,224.82,365.79,2.235,-6.8745
394.2,-98.838,21.724,-33.776,7.9921,0.35504,3.793,24.4,195.56,543.55,2.186,-1.6058
561.9,-97.367,9.365,-24.892,12.666,0.3222,3.971,18.95,153.79,605.55,1.241,-0.128
721.5,-93.837,20.329,-47.465,16.941,0.30019,4.685,23.37,199.39,624.45,2.515,0.29589
819.1,-89.425,33.777,-72.622,19.488,0.29205,4.542,26.05,220.05,615.89,4.132,0.10538
888.8,-87.366,35.503,-71.271,21.599,0.2838,5.091,21.6,189.58,612.11,3.799,0.020587
905.4,-90.896,19.181,-45.108,22.246,0.27394,4.969,23.51,204.6,636,2.355,0.54927
851.6,-87.562,34.367,-68.363,20.594,0.28135,5.54,25.93,234.8,639.88,3.801,0.63358
739.5,-78.247,39.24,-73.492,17.687,0.29437,5.361,29,259.36,635.03,4.406,0.52818
587.1,-78.149,37.395,-62.552,13.648,0.32049,5.947,28.33,263.87,636.97,3.776,0.57036
397.9,-72.363,24.078,-32.568,8.9438,0.34144,5.518,33.6,303.79,612.11,2.379,0.020587
263.1,-65.402,22.48,-21.503,5.6045,0.37118,5.925,41.99,390.5,618.73,2.122,0.16893
38.85,-65.696,20.238,-18.514,-0.70869,0.36133,5.09,42.31,371.33,586.16,1.941,-0.57521
0.34,-47.85,23.587,-14.558,-1.0856,0.85762,3.115,55.7,425.57,545.28,2.739,-1.5626
0,-30.691,26.334,-19.395,-0.67004,NaN,4.844,43.01,371.05,557.49,2.343,-1.2609
0,-29.22,13.024,-11.885,-0.79217,NaN,3.139,46.47,355.65,539.25,1.458,-1.7138
0,-26.376,17.692,-23.087,-0.89625,NaN,3.262,31.32,241.8,527.34,1.821,-2.0169
0,-45.399,28.256,-18.653,-1.0098,NaN,2.345,48.16,348.39,492.76,2.91,-2.9326
0,-21.67,34.651,-40.773,-0.78398,NaN,3.605,27.96,221.14,513.13,3.145,-2.3864
0,-48.929,33.812,-28.929,-1.2425,NaN,3.789,28.27,226.51,478.47,2.586,-3.3279
0,-64.127,37.347,-25.176,-1.4657,NaN,2.913,37.47,282.22,466.02,3.085,-3.6807
0,-75.501,59.438,-52.826,-1.9433,0.10713,2.163,30.54,218.08,450.05,5.129,-4.1459
0,-41.477,35.943,-38.327,-1.2373,0.13332,2.103,25.98,184.73,454.57,3.199,-4.0127
