NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure,Wind Speed
6.92,-10.3,15.41,2.3549,0.40578,0.42763,3.713,79.45,633.19,2.055
7.433,-12.5,13.166,3.684,0.3324,0.40393,3.865,81.1,653.29,1.687
2.493,-18.4,12.314,4.7776,0.033419,0.5878,3.5595,84.35,665.01,1.713
0,-24.3,11.43,5.828,-0.19866,NaN,3.254,87.6,675.91,1.739
0,-30,6.363,3.8275,-0.55882,NaN,2.675,91,673.93,1.178
0,-49.05,10.29,0.76393,-1.0718,NaN,2.393,85.13,617.94,2.131
0,-68.1,13.128,-7.5018,-1.7624,NaN,2.111,79.26,563.89,3.084
0,-68.3,9.9004,-9.654,-1.9198,NaN,1.875,77.14,539.64,2.62
0,-65,3.0399,-4.3812,-1.8715,NaN,0.8,87.4,566.01,1.886
0,-40.5,1.1818,-2.6063,-1.1827,NaN,0.637,86.9,556.19,0.921
0,-41.8,0.71817,-1.3513,-1.197,NaN,0.397,92.5,581.86,0.898
0.314,-38.1,0.2714,-0.77705,-1.0802,0.84911,0.205,94.8,588.09,0.657
17.74,-36.9,0.054963,-0.44076,-0.55138,0.1405,0.032,98.1,600.98,0.852
177.93,-39.1,1.1354,1.2174,3.9827,0.065003,0.353,99.8,625.78,1.595
627.56,-98.1,11.421,1.5497,15.302,0.08144,3.94,78.03,631.89,1.437
872.8,-105.1,29.856,4.8656,22.636,0.1039,4.808,74.56,641.62,3.077
608.5,-96.9,51.567,-10.993,15.577,0.11012,6.255,58.74,558.87,4.084
280.83,-57.3,71.057,-35.766,7.3012,0.11883,5.866,53.5,495.52,5.998
229.28,-46.1,77.107,-47.376,6.0062,0.11917,6.285,48.24,459.92,6.073
153.98,-35.9,26.528,-12.41,3.7293,0.10581,5.316,57.61,513.61,2.468
189.35,-29.7,13.385,-2.0975,4.8221,0.093585,3.108,77.51,591.91,2.128
256.74,-49.2,27.512,-14.69,6.2163,0.11193,5.001,58.06,506.4,2.72
257.73,-67,41.195,-34.336,5.5739,0.12664,5.946,44.77,416.96,3.427
269.84,-95.4,65.649,-49.089,5.388,0.13706,6.714,42.21,414.49,4.838
141.1,-70.8,51.841,-40.639,2.2992,0.13985,6.182,44.5,421.26,4.148
12.366,-46.2,39.51,-32.865,-0.767,0.19649,5.65,46.79,426.93,3.458
0,-38.3,19.44,-13.86,-0.92303,NaN,4.743,55.85,478.44,2.025
0,-38.2,17.091,-11.881,-0.93065,NaN,3.611,64.78,512.58,2.338
0,-36.9,7.9641,-7.4313,-1.0259,NaN,3.421,62.23,485.85,1.15
0,-36.05,7.1701,-8.4365,-1.0527,NaN,2.895,63.48,477.51,1.224
0,-35.2,6.2193,-9.513,-1.0859,NaN,2.369,64.73,469.06,1.298
0,-33.8,4.9366,-7.8309,-1.0351,NaN,2.054,68.23,483.45,1.189
0,-29.2,3.791,-5.4916,-0.87169,NaN,1.795,73.21,509.23,1.045
0,-30.25,3.7196,-6.3523,-0.92761,NaN,1.702,71.965,497.25,1.0815
0,-31.3,3.6345,-7.2505,-0.98497,NaN,1.609,70.72,485.4,1.118
2.808,-30.9,4.5695,-10.6,-0.96258,0.3515,1.328,72.9,490.38,1.702
56.69,-31.3,5.2343,-9.0609,0.6083,0.12892,1.79,70.42,489.64,1.446
154.02,-57.9,4.9871,-3.5133,2.7531,0.11381,3.007,69.64,528.02,0.82
340.64,-80.5,11.071,-4.7051,7.518,0.10287,5.118,59.79,525.76,1.069
581.66,-104.9,42.387,-14.366,14.24,0.10979,5.849,57.65,533.32,3.582
965.4,-149.1,49.626,-14.768,24.011,0.11431,8.4,46.57,513.09,2.921
1075,-167.9,110.3,-65.353,26.857,0.11813,9.97,31.01,379.78,5.474
1093.7,-172,136.33,-69.889,27.875,0.12153,10.71,30.79,396.19,6.301
983.2,-155.1,175.24,-70.303,26.321,0.12449,10.32,35.815,449.02,8.4055
872.7,-138.2,210.83,-60.871,24.95,0.12817,9.93,40.84,498.83,10.51
651.8,-123.2,153.8,-24.073,18.571,0.12989,9.33,47.21,553.87,8.16
409.34,-103.35,137.02,-9.6594,12.224,0.12917,8.4555,53.14,587.68,8.0215
166.87,-83.5,120.73,1.8468,5.8096,0.12634,7.581,59.07,615.54,7.883
113.8,-65.5,97.936,0.40298,4.1366,0.13196,6.628,62.7,612.07,7.31
28.438,-56.1,52.53,-5.0638,0.55867,0.16531,6.158,62.19,587.74,4.217
10.573,-66.8,33.125,-4.5432,-0.77987,0.27162,5.479,64.495,581.54,2.987
0,-77.5,17.08,-3.3091,-1.7978,NaN,4.8,66.8,574.53,1.757
0,-75.8,5.1942,-0.40177,-2.0031,NaN,3.397,77.07,600.69,0.755
0,-73.4,6.8553,-2.1705,-1.9384,NaN,2.889,76.49,575.13,1.172
0,-71.8,4.0192,-2.8504,-1.9925,NaN,2.495,74.08,541.65,0.796
0,-71.1,4.4868,-5.7118,-2.0403,NaN,2.5685,65.7,482.89,0.8635
0,-70.4,4.9741,-9.0132,-2.0999,NaN,2.642,57.32,423.51,0.931
0,-70.1,6.409,-19.1,-2.3355,NaN,1.784,57.96,402.83,1.777
0,-70.3,6.779,-22.016,-2.413,NaN,1.812,54.64,380.52,1.85
0,-70.7,3.0566,-17.543,-2.4031,NaN,1.143,53.33,354,1.322
13.112,-72,6.4382,-35.088,-2.4694,0.24817,1.399,46.17,312.16,2.274
166.25,-77.4,10.065,-30.944,1.9174,0.10906,2.562,41.12,302.09,1.94
631.82,-114.1,27.344,-35.845,14.365,0.10367,7.175,23.89,242.13,1.882
809.8,-145.1,67.672,-64.077,18.852,0.11011,9.21,23.11,268.94,3.628
944.7,-162.9,141.05,-131.38,22.327,0.1171,10.16,19.34,239.89,6.856
992.6,-168.6,175.71,-139.63,24.263,0.11965,10.845,21.035,273.11,8.003
1040.5,-174.3,213.54,-142.76,26.432,0.12194,11.53,22.73,308.83,9.15
996.2,-177.3,199.66,-96.812,26.002,0.1246,11.7,28.28,388.59,8.43
828.3,-165.95,192.92,-64.271,22.314,0.12677,11.645,33.52,458.92,8.1845
660.4,-154.6,186.24,-33.725,18.571,0.13002,11.59,38.76,528.73,7.939
547.8,-140.6,170.35,-21.084,15.698,0.13949,11.1,42.19,557.14,7.581
299.44,-119.1,139.67,-5.5842,8.8699,0.14006,10.06,48.31,595.23,6.8585
51.08,-97.6,112.04,4.5523,1.9768,0.1461,9.02,54.43,625.37,6.136
23.087,-85.8,95.264,9.9975,1.2003,0.18679,8.51,58.2,646.02,5.529
0,-83.6,65.404,10.746,-0.21015,NaN,7.734,62.76,660.85,4.175
0,-78.9,20.63,4.2051,-1.5252,NaN,6.154,69.88,660.24,1.654
0,-74.9,17.402,3.1853,-1.5322,NaN,4.764,75.21,645.23,1.802
0,-73.8,25.948,1.01,-1.3214,NaN,4.663,72.56,618.12,2.746
0,-72.2,19.457,-3.5891,-1.5891,NaN,4.61,68.06,577.65,2.084
0,-71.75,18.803,-9.5584,-1.7633,NaN,4.5735,61.41,519.88,2.0315
0,-71.3,18.157,-15.185,-1.9275,NaN,4.537,54.76,462.4,1.979
0,-69.7,15.115,-16.396,-2.0023,NaN,4.12,53.17,436.05,1.815
0,-68.7,14.769,-17.644,-2.0191,NaN,4.466,47.86,402.13,1.636
2.8395,-69.05,14.379,-18.896,-1.9952,0.56359,4.2825,47.09,390.61,1.6605
11.625,-69.4,13.971,-20.158,-1.8043,0.29758,4.099,46.32,379.31,1.685
161.08,-74.3,16.928,-17.249,2.439,0.113,5.511,43.26,390.94,1.518
623.27,-108.9,67.248,-48.727,15.033,0.10475,9.52,28.67,340.68,3.491
777.44,-137.2,93.618,-62.388,18.942,0.11211,10.925,24.96,325.8,4.2365
931.6,-165.5,124.2,-78.879,22.89,0.11697,12.33,21.25,304.37,4.982
1007,-183.5,116.57,-67.503,24.615,0.11899,13.05,20.98,315.02,4.417
1029.4,-194.5,132.91,-56.782,25.7,0.12092,13.41,25.15,386.62,4.901
964.8,-202.4,113.23,-33.841,23.747,0.12291,13.71,28.74,450.52,4.084
696.2,-176.5,203.52,-46.609,19.087,0.12669,12.79,33.62,496.3,7.87
540.55,-150.75,193.32,-46.061,15.15,0.12996,11.94,35.79,499.63,8.01
384.91,-125,182.64,-46.313,11.178,0.13581,11.09,37.96,500.95,8.15
206.96,-91.8,190.87,-31.629,7.7409,0.13551,10.07,44.26,545.7,9.38
92.58,-58.9,156.21,-27.111,4.592,0.13396,9.04,47.77,549.59,8.55
30.344,-72.8,139.46,-31.964,1.8347,0.16637,8.35,48.82,536.06,8.26
0,-85.4,95.924,-32.451,-0.61856,NaN,7.625,48.79,509.94,6.219
0,-85.3,33.912,-14.876,-1.8693,NaN,6.67,50.7,496.36,2.513
0,-80.9,14.74,-8.6996,-2.1118,NaN,5.42,54.08,485.64,1.344
0,-79.05,18.356,-15.761,-2.1567,NaN,4.6275,53.585,455.35,1.961
0,-77.2,19.993,-24.525,-2.3056,NaN,3.835,53.09,426.76,2.578
0,-74.5,15.045,-21.118,-2.273,NaN,3.639,51.84,411,2.045
0,-72.4,8.897,-14.622,-2.2039,NaN,3.072,54.27,413.38,1.433
0,-71.2,7.0981,-12.389,-2.1578,NaN,2.8865,55.05,413.85,1.217
0,-70,5.4619,-10.17,-2.1075,NaN,2.701,55.83,414.23,1.001
0,-69.2,7.5179,-15.077,-2.1654,NaN,2.498,56.75,415.03,1.49
10.623,-70.9,6.862,-12.755,-1.8666,0.30112,2.824,54.2,405.66,1.203
162.22,-80.1,32.311,-59.525,1.5489,0.11064,3.877,41.13,331.6,4.126
623.87,-110,69.732,-99.154,13.666,0.10697,6.189,28.17,266.8,5.579
623.43,-119.7,91.88,-118.17,13.468,0.11533,7.505,22.52,233.45,6.062
608.2,-101.9,87.27,-102.31,13.858,0.11995,7.961,23,245.96,5.428
491.18,-75.6,111.15,-110.55,11.74,0.12289,6.612,36.27,353.67,8.32
471.49,-72.5,120.76,-90.238,12.116,0.12248,6.157,45.59,430.83,9.7
549.5,-79.25,105.08,-75.358,14.104,0.12354,6.5625,43.905,426.67,7.9175
627.5,-86,86.474,-59.908,16.025,0.12434,6.968,42.22,421.88,6.135
471.34,-80.4,117.52,-90.777,11.783,0.12682,7.18,38.83,393.69,8.09
313.08,-71.3,101.88,-97.705,6.9384,0.12815,6.831,35.79,354.28,7.371
210.95,-67.7,105.66,-114.53,3.7906,0.13474,6.162,36.93,349.11,8.47
92.36,-67.8,74.398,-91.899,0.19914,0.13521,5.611,37.27,339.15,6.547
11.859,-68,36.859,-53.093,-2.0416,0.23093,5.214,35.72,316.21,3.488
0,-62.2,23.217,-35.376,-2.0977,NaN,4.697,38.63,329.86,2.437
0,-68.9,6.2486,-11.07,-2.0796,NaN,3.414,47.84,373.32,0.902
0,-67.6,6.3204,-16.007,-2.1802,NaN,2.396,51.31,372.53,1.3
0,-70.7,4.7233,-13.651,-2.2463,NaN,2.393,46.74,339.28,0.973
0,-71.9,5.5044,-16.716,-2.3445,NaN,2.561,41.6,305.6,1.06
0,-70.8,6.9133,-28.63,-2.6099,NaN,1.993,40.7,287.13,1.712
0,-70.8,6.9133,-28.63,-2.6099,NaN,1.993,40.7,287.13,1.712
0,-69.5,3.7113,-23.302,-2.5132,NaN,1.337,41.87,281.83,1.371
0,-69.5,3.7113,-23.302,-2.5132,NaN,1.337,41.87,281.83,1.371
0,-68.8,4.351,-34.309,-2.7859,NaN,1.081,41.88,276.76,1.988
11.946,-69.5,3.2227,-28.723,-2.3429,0.26757,0.958,42.15,276.09,1.661
316.28,-88.9,16.795,-38.884,5.7913,0.10668,3.6705,34.95,277.71,2.2595
620.62,-108.3,36.941,-50.859,14.06,0.10289,6.383,27.75,266.36,2.858
798.7,-135.2,88.114,-103.03,18.296,0.11256,8.22,21.52,234.22,5.296
932.5,-155.1,125.26,-128.42,21.841,0.11695,10.13,16.47,203.88,6.109
981.8,-169.95,148.19,-129.86,23.419,0.11946,11.09,17.43,230.02,6.6015
1031.1,-184.8,173.05,-129.08,25.114,0.12172,12.05,18.39,258.59,7.094
1005.9,-193.4,126.48,-88.905,23.98,0.12454,12.06,19.8,278.6,5.18
631.6,-175.5,116.32,-73.574,14.072,0.12557,11.67,23.44,321.44,4.921
540.91,-159.85,119.07,-67.223,12.212,0.13107,11.35,26.785,359.62,5.179
450.22,-144.2,121.47,-60.349,10.357,0.13866,11.03,30.13,396.03,5.437
253.02,-120.65,139.61,-73.324,5.604,0.13968,9.84,33.625,408.24,7.0035
