NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Wind Speed
0,-63.615,37.881,18.803,-0.19551,NaN,6.9863,79.453,3.5478
0,-62.147,40.941,21.979,0.0218,NaN,6.813,81.42,3.7237
0,-64.112,45.688,21.561,0.088487,NaN,7.3567,77.482,3.8563
0,-65.438,29.456,10.761,-0.71146,NaN,7.611,72.638,3.1165
0,-69.565,7.1758,2.549,-1.6881,NaN,8.028,70.955,2.1905
0,-71.06,13.225,4.1513,-1.5144,NaN,8.091,69.117,2.455
0,-69.015,7.1505,1.7266,-1.6965,NaN,9.3475,62.21,2.283
0,-71.355,42.246,10.326,-0.52986,NaN,8.4725,65.105,3.5773
8,-71.832,64.769,5.0423,0.16866,0.7193,9.2123,55.762,4.3362
86.75,-52.33,44.126,5.2598,2.3641,0.56242,9.6225,56.15,3.572
161.75,-20.743,46.303,7.0163,5.4819,0.54724,7.8565,63.49,3.8073
291.5,44.875,69.467,-0.69321,11.429,0.53154,9.01,52.8,4.5475
388,106.43,74.357,-14.791,15.628,0.52582,8.9725,45.085,4.7435
448.75,136.88,58.746,-8.3852,17.941,0.52998,9.5,45.428,4.0818
453.5,130.7,67.927,3.389,18.492,0.53272,9.3825,54.005,4.4245
474,144.65,59.638,16.648,19.604,0.54379,9.2,64.25,4.1502
434,144.22,68.055,24.363,18.919,0.56805,9.6008,66.397,4.3952
362.75,93.1,151.08,71.124,19.128,0.5923,10.99,67.54,6.8945
265.75,46.15,139.69,56.81,14.342,0.62923,10.582,65.78,6.659
161.75,4.9,113.54,49.049,9.2878,0.68562,9.3525,70.237,6.1643
58.75,-31.775,108.41,59.284,5.4914,0.79636,7.9657,78.715,6.5953
9.25,-41.679,105.17,96.615,4.7776,0.81026,6.3695,96.075,7.012
1.75,18.652,120.49,118.58,7.3196,0.53333,6.9302,97.6,7.383
0,-13.992,106.02,104.98,5.5575,NaN,6.2332,98.775,7.2227
0,-0.66275,94.122,90.743,5.1963,NaN,5.568,98.725,7.1785
0,-45.198,87.629,71.779,3.2218,NaN,5.6005,93.95,6.6445
0,-57.163,93.676,66.493,2.9058,NaN,5.825,89.9,6.8293
0,-48.342,88.381,71.448,3.145,NaN,4.8723,94.85,7.7033
0,-59.51,70.822,46.837,1.6404,NaN,4.55,91.175,6.61
0,-70.655,73.57,39.987,1.2103,NaN,4.49,87.975,6.9583
0,-73.242,65.392,29.655,0.61508,NaN,3.941,87.15,7.0462
0,-67.93,53.727,31.841,0.49755,NaN,3.4138,92.05,6.6835
8.25,-29.84,31.735,21.873,0.90321,0.5875,2.2397,96.5,6.017
58,-8.205,31.981,25.662,3.0308,0.60678,2.6123,97.95,5.199
104.5,-40.638,40.69,28.694,3.7589,0.70543,3.1655,95.125,5.4588
176.25,-51.275,48.026,29.66,5.717,0.67925,3.3512,92.775,6.0857
229.75,3.125,57.857,34.312,9.1694,0.67014,3.7005,91.35,6.6395
252.25,17.325,54.371,30.755,10.006,0.67198,3.834,90.325,6.0222
215.5,40.525,35.713,20.629,8.8118,0.69701,3.4538,91.6,4.8803
231.5,112.05,35.792,16.152,11.157,0.68769,2.891,90.45,5.2575
258.5,136.48,23.179,7.987,12.021,0.65818,2.741,88.85,4.0572
284.5,60.55,20.277,-3.4545,10.208,0.63953,2.9425,77.43,3.4985
249.25,6.175,16.531,-15.964,7.2214,0.6462,3.857,51.355,2.7292
157.75,-10.325,2.2853,-0.41722,4.2115,0.70746,3.777,71.752,1.5092
62.75,-57.291,1.7964,-2.3034,0.13968,0.78854,3.8255,43.675,1.4653
15.25,-76.998,0,-0,-1.7419,0.84278,3.463,35.508,0.5635
0,-83.285,6.8206,-13.138,-2.5277,1,2.7158,44.91,1.9358
0,-77.915,17.25,-48.328,-3.0747,NaN,2.946,22.95,3.1213
0,-91.45,17.458,-66.503,-3.9633,NaN,2.1928,23.475,3.7828
0,-88.55,18.137,-60.29,-3.6871,NaN,2.7868,16.035,3.332
0,-86.825,12.744,-38.678,-3.1809,NaN,3.16,13.355,2.5235
0,-83.875,9.2362,-29.067,-2.9255,NaN,3.0802,12.71,2.1658
0,-87.675,0,-0,-2.4733,NaN,2.255,17.09,0.73475
0,-85.63,8.5206,-52.147,-3.6463,NaN,1.1967,33.398,3.0235
0,-87.9,5.1284,-45.233,-3.611,NaN,0.49325,60.032,4.4153
0,-92.275,9.2125,-37.264,-3.3944,NaN,0.8755,64.99,4.4685
14,-92.885,8.122,-36.833,-3.0352,0.59712,0.799,64.677,4.3167
87,-90.489,16.664,-40.263,-0.76415,0.60544,1.4587,62.453,4.851
183.25,-61.125,20.781,-34.215,3.0661,0.59232,2.747,49.858,3.7193
286.75,-10.825,37.198,-46.776,7.5135,0.56847,4.6018,35.85,4.175
382.5,36.125,35.937,-38.977,11.724,0.54491,5.2888,34.475,3.8025
452.25,72.2,26.264,-19.825,14.976,0.53207,5.9492,40.023,3.0823
486.5,98.625,11.188,-5.9832,16.653,0.52961,6.1063,46.49,2.2735
484.75,100.98,20.462,-5.7363,16.939,0.53888,5.5812,58.145,2.788
438.5,113.58,12.956,-1.7193,15.891,0.55729,6.7547,57.22,2.3862
369.75,89.875,28.434,-3.7751,13.661,0.58019,7.2973,54.755,3.087
279,58.775,16.053,0.74249,10.002,0.61237,7.2223,61.833,2.543
178,4,25.842,-1.8102,5.8121,0.66063,6.6292,60.062,3.0038
78.25,-47.675,35.16,-11.424,1.5321,0.75198,6.1753,53.328,3.5377
5.5,-68.53,56.405,-4.0404,-0.30086,0.95175,6.235,61.815,4.7233
0,-84.95,68.121,15.105,-0.048632,NaN,6.743,70.157,5.1647
0,-86.75,80.83,12.874,0.19618,NaN,7.1742,66.268,5.6398
0,-85.225,74.698,-5.2376,-0.44471,NaN,6.9612,58.583,5.4192
0,-83.5,73.481,-16.052,-0.73547,NaN,7.9002,48.777,4.9932
0,-82.475,83.531,-21.647,-0.58084,NaN,7.7803,47.72,5.5025
0,-81.1,81.596,-28.134,-0.77967,NaN,7.6158,45.163,5.4782
0,-79.03,82.204,-43.854,-1.1476,NaN,7.6155,37.867,5.5078
0,-73.547,109.17,-76.495,-1.1529,NaN,9.7425,20.64,5.8558
0,-67.865,7.6578,-4.6686,-1.8301,NaN,10.692,20.64,2.396
0,-61.875,1.6528,-1.2591,-1.7344,NaN,9.495,19.168,2.0187
12.25,-57.905,12.579,-8.3662,-1.1691,0.58824,8.976,25.697,2.4748
88.75,-51.196,5.6917,-3.1882,1.13,0.56865,10.482,23.637,2.303
192.25,-10.875,0,-0,5.1165,0.55186,13.825,7.329,1.1805
298,37.15,0,-0,9.4545,0.53456,14.008,8.6628,1.1955
390.5,77.775,0,-0,13.21,0.52101,13.04,11.105,1.72
456.75,116.83,0,-0,16.18,0.51564,14.048,9.9567,1.6808
487,119.2,38.8,-3.4157,18.099,0.51877,9.9725,46.08,3.3857
