SW IN,SW OUT,NETSW,Si0,Li0,Lo0,NetLW,H0,E0,B0,energy0,energy_rest0,sublim0,depo0,evapo0,condens0,alphaMod0,SubM0,melt[cm ice eq.day]
622.25,321.66,300.59,30.059,269.12,-315.64,-46.522,92.992,27.573,-2.6837,341.89,0,0,-3.5026e-05,0,0,0.51692,0.0003226,10.568
123.25,63.668,59.582,5.9582,266.43,-315.64,-49.207,210.15,9.1169,-2.6218,221.07,0,0,-1.1581e-05,0,0,0.51658,6.2868e-05,6.4783
38.25,19.746,18.504,1.8504,255.97,-315.64,-59.667,104.45,-36.295,-2.5069,22.632,0,4.6106e-05,0,0,0,0.51623,1.8628e-05,0.76136
21.75,11.221,10.529,1.0529,251.32,-302.68,-51.36,31.909,-1.6648,11.639,0,-0.00015992,2.1148e-06,0,0,0,0.5159,0,-0.29864
2,1.0311,0.96886,0.096886,273.39,-315.64,-42.244,122.74,-60.653,-2.6324,18.082,0,7.7047e-05,0,0,0,0.51557,0,0.58709
0,0,0,0,267.9,-315.06,-47.166,186.65,-137.52,-1.9595,0,-9.8698e-05,0.00017469,0,0,0,0.51525,0,0.05518
0,0,0,0,270.33,-315.64,-45.303,192.56,-117.66,-2.5278,27.077,0,0.00014946,0,0,0,0.51494,0,0.83514
0,0,0,0,268.16,-314.87,-46.707,196.01,-147.66,-1.6425,0,-0.00023643,0.00018757,0,0,0,0.51463,0,0.046281
0,0,0,0,266.83,-314.97,-48.137,145.27,-95.427,-1.7079,0.0019143,0.0019134,0.00012122,0,0,0,0.51433,0,0.048234
0,0,0,0,262.18,-312.9,-50.724,133.64,-83.5,0.58177,0.0020625,0.0019938,0.00010607,0,0,0,0.51403,0,-0.016353
0,0,0,0,263.83,-315.64,-51.807,113.69,-53.859,-2.3909,5.6326,0,6.8417e-05,0,0,0,0.51374,0,0.22634
0,0,0,0,264.88,-315.64,-50.756,90.652,6.4917,-2.3396,44.048,0,0,-8.2464e-06,0,0,0.51346,0,1.3086
0,0,0,0,261.75,-315.27,-53.522,94.129,-38.715,-1.8934,0,-0.00067383,4.918e-05,0,0,0,0.51318,0,0.053339
0.25,0.12823,0.12177,0.012177,250.25,-301.88,-51.623,154.35,-115.85,13.013,0,-0.00037225,0.00014717,0,0,0,0.51291,0,-0.36676
70.75,36.27,34.48,3.448,249.51,-304.02,-54.509,123.49,-110.43,10.417,0.0027931,0.0017075,0.00014027,0,0,0,0.51264,0,-0.19652
278.25,142.57,135.68,13.568,249.61,-312.55,-62.944,98.507,-158.45,0.77415,0.0022895,0.0018634,0.00020127,0,0,0,0.51238,0,0.36097
512.5,262.47,250.03,25.003,251.73,-315.64,-63.904,90.046,-161.11,-2.6039,87.458,0,0.00020466,0,0,0,0.51213,0.00026828,3.246
722.75,369.96,352.79,35.279,253.63,-315.64,-62.002,74.606,-121.41,-2.5459,206.16,0,0.00015423,0,0,0,0.51188,0.00037907,6.8827
890.75,455.74,435.01,43.501,258.63,-315.64,-57.009,67.741,-70.689,-2.4894,329.07,0,8.9795e-05,0,0,0,0.51163,0.00046772,10.58
957.25,489.53,467.72,46.772,264.23,-315.64,-51.403,68.979,-0.031061,-2.4344,436.06,0,3.9457e-08,0,0,0,0.51139,0.000503,13.689
1043,533.14,509.86,50.986,265.11,-315.64,-50.53,64.685,37.965,-2.381,508.62,0,0,-4.8227e-05,0,0,0.51116,0.00054846,15.853
682.25,348.58,333.67,33.367,263.84,-315.64,-51.798,67.505,46.86,-2.329,360.54,0,0,-5.9525e-05,0,0,0.51093,0.00035857,11.178
496,253.31,242.69,24.269,264.38,-315.64,-51.257,86.714,79.294,-2.2789,330.9,0,0,-0.00010073,0,0,0.5107,0.00026054,10.083
337,172.03,164.97,16.497,260.47,-315.64,-55.171,75.091,72.572,-2.2303,238.73,0,0,-9.2188e-05,0,0,0.51048,0.00017679,7.2629
204.25,104.22,100.03,10.003,263.61,-315.64,-52.025,106.4,108.88,-2.1832,251.09,0,0,-0.0001383,0,0,0.51027,0.00010682,7.427
155.25,79.186,76.064,7.6064,264.76,-315.64,-50.878,115.79,121.53,-2.1375,252.76,0,0,-0.00015438,0,0,0.51005,8.102e-05,7.4052
