SW IN,SW OUT,NETSW,Si0,Li0,Lo0,NetLW,H0,E0,B0,energy0,energy_rest0,sublim0,depo0,evapo0,condens0,alphaMod0,SubM0,melt[cm ice eq.day]
169,50.7,118.3,23.66,287.76,-315.64,-27.872,79.024,57.655,-1.0516,202.4,0,0,-7.3238e-05,0,0,0.3,0.00025493,6.4066
95,28.5,66.5,13.3,286.99,-315.64,-28.645,72.535,55.572,-1.0292,151.63,0,0,-7.0593e-05,0,0,0.3,0.00014327,4.6817
30.84,9.252,21.588,4.3176,284.87,-315.64,-30.768,58.65,44.376,-1.0076,88.521,0,0,-5.6371e-05,0,0,0.3,4.6453e-05,2.6474
0.186,0.0558,0.1302,0.02604,282.02,-315.64,-33.614,52.378,41.985,-0.98665,59.867,0,0,-5.3333e-05,0,0,0.3,1.9693e-07,1.7174
0,0,0,0,287.07,-315.64,-28.562,37.032,28.685,-0.96641,36.188,0,0,-3.6438e-05,0,0,0.3,0,1.0481
0,0,0,0,288.88,-315.64,-26.76,39.521,33.773,-0.94678,45.587,0,0,-4.2902e-05,0,0,0.3,0,1.3127
0,0,0,0,288.01,-315.64,-27.623,57.156,46.02,-0.92771,74.625,0,0,-5.8459e-05,0,0,0.3,0,2.1313
0,0,0,0,287.28,-315.64,-28.357,45.214,35.253,-0.9092,51.201,0,0,-4.4782e-05,0,0,0.3,0,1.47
0,0,0,0,289.03,-315.64,-26.604,28.735,17.131,-0.89122,18.371,0,0,-2.1762e-05,0,0,0.3,0,0.54337
0,0,0,0,290.97,-315.64,-24.668,35.019,8.2926,-0.87376,17.77,0,0,-1.0534e-05,0,0,0.3,0,0.52594
0,0,0,0,286.93,-315.64,-28.705,75.802,-5.2548,-0.85679,40.985,0,6.6751e-06,0,0,0,0.3,0,1.1803
13.1,3.93,9.17,1.834,284.97,-315.64,-30.663,81.086,1.3352,-0.8403,58.254,0,0,-1.6961e-06,0,0,0.3,1.9684e-05,1.7188
132,39.6,92.4,18.48,286.73,-315.64,-28.907,109.02,-14.59,-0.82424,138.62,0,1.8534e-05,0,0,0,0.3,0.0001991,4.4549
322.5,96.75,225.75,45.15,286.52,-315.64,-29.117,108.39,-21.388,-0.80844,237.67,0,2.7169e-05,0,0,0,0.3,0.00048656,8.0012
648.5,194.55,453.95,90.79,286.22,-315.64,-29.42,102.13,-16.875,-0.79276,418.2,0,2.1436e-05,0,0,0,0.3,0.00097849,14.381
542.9,162.87,380.03,76.006,286.15,-315.64,-29.489,74.508,-12.167,-0.77697,336.1,0,1.5456e-05,0,0,0,0.3,0.00081914,11.647
323.6,97.08,226.52,45.304,284.78,-315.64,-30.857,65.798,-1.9473,-0.76179,213.45,0,2.4736e-06,0,0,0,0.3,0.00048822,7.3208
