SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
-3.669,0.95394,-2.7151,-61.931,-6.2401,-59.594,-3.6808
-4.017,1.0444,-2.9726,-31.302,-4.6786,-57.851,-2.7308
-5.155,1.3403,-3.8147,-32.018,-6.1695,-68.27,-3.1107
13.47,-3.5022,9.9678,-33.291,-6.4187,-71.143,-2.8459
27.21,-7.0746,20.135,-32.67,-4.8337,-67.955,-2.407
761.6,-198.02,563.58,-69.965,4.0492,-66.211,12.171
917,-238.42,678.58,-67.365,1.3078,-5.1777,17.133
1038,-269.88,768.12,-72.408,10.63,-44.304,18.676
1090,-283.4,806.6,-73.23,17.197,-61.13,19.449
1079,-280.54,798.46,-71.105,10.237,-22.828,20.163
748.6,-194.64,553.96,-68.576,8.1018,-11.792,13.589
1098.3,-285.56,812.74,-76.654,8.3444,-13.314,20.625
294.2,-76.492,217.71,-68.781,6.7058,-8.0792,4.1624
476.5,-123.89,352.61,-77.09,7.711,-12.338,7.6418
143.2,-37.232,105.97,-51.307,4.0026,-8.6669,1.4104
13.8,-3.588,10.212,-51.797,1.9437,-5.3953,-1.2705
-4.084,1.0618,-3.0222,-54.056,0,0,-1.6102
-3.273,0.85098,-2.422,-61.416,0,0,-1.8009
-5.502,1.4305,-4.0715,-62.218,0,0,-1.87
-2.368,0.61568,-1.7523,-57.746,0,0,-1.6784
-0.813,0.21138,-0.60162,-49.248,4.2886,-39.907,-2.411
-5.386,1.4004,-3.9856,-54.501,0.89838,-50.387,-3.046
-7.057,1.8348,-5.2222,-57.85,-2.0879,-54.972,-3.3889
-6.523,1.696,-4.827,-53.666,1.6565,-52.37,-3.0807
-3.552,0.92352,-2.6285,-50.2,4.6105,-53.789,-2.8776
-6.569,1.7079,-4.8611,-22.338,2.7342,-54.399,-2.2247
-4.573,1.189,-3.384,-20.887,3.8736,-55.145,-2.131
12.98,-3.3748,9.6052,-21.777,3.7922,-49.793,-1.641
24.82,-6.4532,18.367,-27.004,0.42128,-59.366,-1.9065
755.7,-196.48,559.22,-67.546,5.7723,-54.295,12.501
918,-238.68,679.32,-66.891,6.7847,-31.166,16.589
1028,-267.28,760.72,-61.606,3.4379,-6.8716,19.625
1080,-280.8,799.2,-62.088,20.284,-47.183,20.035
1066,-277.16,788.84,-59.347,17.312,-33.413,20.125
984,-255.84,728.16,-59.074,26.747,-49.428,18.235
835,-217.1,617.9,-56.577,13.333,-18.999,15.675
631.7,-164.24,467.46,-57.914,18.952,-20.961,11.496
425.4,-110.6,314.8,-60.405,13.853,-9.3116,7.3044
185.3,-48.178,137.12,-31.575,10.608,-6.5935,3.0907
12.82,-3.3332,9.4868,-42.795,5.2183,-4.6184,-0.92269
-3.619,0.94094,-2.6781,-45.854,3.7185,-5.1648,-1.4099
-4.478,1.1643,-3.3137,-48.218,1.172,-2.7082,-1.497
-5.593,1.4542,-4.1388,-42.477,6.8213,-24.176,-1.8046
-3.945,1.0257,-2.9193,-38.804,7.4725,-22.25,-1.5939
-3.922,1.0197,-2.9023,-36.943,8.7693,-26.377,-1.6207
