SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
156.75,-89.347,67.403,-45.894,0.54183,-32.521,-0.29537
390.5,-222.58,167.92,-62.125,1.0965,-11.758,2.6835
526.75,-300.25,226.5,-64.837,4.1502,-13.227,4.3045
535,-304.95,230.05,-60.983,4.5892,-3.7638,4.7926
614,-349.98,264.02,-65.374,5.2758,-6.6733,5.5643
747,-425.79,321.21,-74.685,7.9736,-5.3839,7.0274
642.75,-366.37,276.38,-71.771,8.6435,-1.0245,5.987
264.75,-150.91,113.84,-47.316,9.1563,1.5643,2.1791
264.75,-150.91,113.84,-58.621,8.8038,3.4566,1.9036
178,-101.46,76.54,-67.684,7.2897,-0.57589,0.43922
53.25,-30.353,22.898,-84.604,3.3165,2.1045,-1.5878
27.5,-15.675,11.825,-54.114,5.4121,4.2295,-0.92097
1.5,-0.855,0.645,-54.741,2.9439,2.3198,-1.3776
0,0,0,-56.009,-1.4883,-1.1651,-1.6548
0,0,0,-55.808,-0.84314,-0.60507,-1.6152
0,0,0,-57.265,-6.1381,-5.1642,-1.9342
0,0,0,-57.098,-5.793,-4.8647,-1.9114
0,0,0,-57.295,-5.8466,-4.9181,-1.92
0,0,0,-57.097,-5.1175,-4.2957,-1.8762
0,0,0,-57.718,-6.3232,-5.3199,-1.9567
0,0,0,-58.689,-10.463,-8.8096,-2.1993
0,0,0,-58.779,-12.6,-10.617,-2.3131
0,0,0,-29.243,-12.597,-10.602,-1.4794
0.75,-0.4275,0.3225,-26.449,-2.5012,-2.0234,-0.86466
77.5,-44.175,33.325,-36.257,-1.4163,-1.2601,-0.15821
111.25,-63.413,47.838,-36.684,-1.4104,-1.811,0.22376
295.25,-168.29,126.96,-48.315,3.9711,-1.5687,2.2862
444.5,-253.36,191.14,-55.893,8.6126,-0.062546,4.0563
312.5,-178.12,134.38,-45.335,10.25,4.824,2.937
365.5,-208.33,157.17,-49.659,12.387,5.6368,3.5412
257,-146.49,110.51,-44.984,7.7924,2.7487,2.1458
112.5,-64.125,48.375,-32.555,18.492,15.314,1.3999
69.25,-39.472,29.778,-30.929,19.317,17.161,0.99654
43.5,-24.795,18.705,-32.267,18.744,16.568,0.61357
